,game,player,color,move,turn,timestamp
1373,19,Alfons2357,White,Re1,23,0:01:32
1374,19,plemercier,Black,Qg5,24,0:00:44
1375,19,Alfons2357,White,Re5,25,0:01:40
1376,19,plemercier,Black,Bxe5,26,0:00:51
1377,19,Alfons2357,White,dxe5,27,0:01:46
1378,19,plemercier,Black,Qxe5,28,0:01:14
1379,19,Alfons2357,White,Qe1,29,0:01:49
1380,19,plemercier,Black,Qxc3,30,0:01:22
1381,19,Alfons2357,White,Qxc3,31,0:01:50
1382,19,plemercier,Black,e5,32,0:01:24
1383,19,Alfons2357,White,Qf3,33,0:01:51
1384,19,plemercier,Black,e4,34,0:01:27
1385,19,Alfons2357,White,Qf6,35,0:01:55
1386,19,plemercier,Black,Re6,36,0:01:32
1387,19,Alfons2357,White,Qd8+,37,0:01:55
1388,19,plemercier,Black,Kg7,38,0:01:36
1389,19,Alfons2357,White,Bb2+,39,0:01:56
1390,19,plemercier,Black,f6,40,0:01:49
1391,19,Alfons2357,White,Qxc7+,41,0:02:06
1392,19,plemercier,Black,Kh6,42,0:01:57
1393,19,Alfons2357,White,Bc1+,43,0:02:07
1394,19,plemercier,Black,g5,44,0:02:00
1395,19,Alfons2357,White,h4,45,0:02:11
1396,19,plemercier,Black,Re5,46,0:02:33
1397,19,Alfons2357,White,hxg5+,47,0:02:12
1398,19,plemercier,Black,fxg5,48,0:02:40
1399,19,Alfons2357,White,Qxe5,49,0:02:13
1400,19,plemercier,Black,Ba6,50,0:02:50
1401,19,Alfons2357,White,Qxg5#,51,0:02:18
1402,20,Alfons2357,White,e4,1,0:02:58
1403,20,Tchbz,Black,e5,2,0:02:21
1404,20,Alfons2357,White,Nf3,3,0:03:08
1405,20,Tchbz,Black,Nc6,4,0:02:26
1406,20,Alfons2357,White,Bc4,5,0:03:13
1407,20,Tchbz,Black,f6,6,0:02:27
1408,20,Alfons2357,White,d3,7,0:03:47
1409,20,Tchbz,Black,Bb4+,8,0:02:35
1410,20,Alfons2357,White,c3,9,0:04:02
1411,20,Tchbz,Black,Bc5,10,0:02:36
1412,20,Alfons2357,White,O-O,11,0:04:11
1413,20,Tchbz,Black,Nge7,12,0:02:40
1414,20,Alfons2357,White,b4,13,0:04:13
1415,20,Tchbz,Black,Bb6,14,0:03:10
1416,20,Alfons2357,White,Ba3,15,0:04:28
1417,20,Tchbz,Black,a5,16,0:03:20
1418,20,Alfons2357,White,b5,17,0:04:38
1419,20,Tchbz,Black,Na7,18,0:03:21
1420,20,Alfons2357,White,Nbd2,19,0:04:40
1421,20,Tchbz,Black,c6,20,0:03:41
1422,20,Alfons2357,White,Qa4,21,0:04:52
1423,20,Tchbz,Black,d5,22,0:04:00
1424,20,Alfons2357,White,bxc6,23,0:04:59
1425,20,Tchbz,Black,bxc6,24,0:04:03
1426,20,Alfons2357,White,exd5,25,0:05:09
1427,20,Tchbz,Black,Nxd5,26,0:04:11
1428,20,Alfons2357,White,Bxd5,27,0:05:29
1429,20,Tchbz,Black,Qxd5,28,0:04:45
1430,20,Alfons2357,White,c4,29,0:06:17
1431,20,Tchbz,Black,Qxd3,30,0:05:59
1432,20,Alfons2357,White,Rad1,31,0:06:25
1433,20,Tchbz,Black,e4,32,0:06:02
1434,20,Alfons2357,White,Rfe1,33,0:06:32
1435,20,Tchbz,Black,Bxf2+,34,0:06:08
1436,20,Alfons2357,White,Kxf2,35,0:06:37
1437,20,Tchbz,Black,e3+,36,0:06:13
1438,20,Alfons2357,White,Rxe3+,37,0:07:06
1439,20,Tchbz,Black,Qxe3+,38,0:06:54
1440,20,Alfons2357,White,Kxe3,39,0:07:23
1441,20,Tchbz,Black,Kd7,40,0:07:25
1442,20,Alfons2357,White,Ne4+,41,0:08:03
1443,20,Tchbz,Black,Kc7,42,0:07:29
1444,20,Alfons2357,White,Bd6+,43,0:08:04
1445,20,Tchbz,Black,Kd7,44,0:07:57
1446,20,Alfons2357,White,Bc5+,45,0:08:33
1447,20,Tchbz,Black,Kc7,46,0:08:19
1448,20,Alfons2357,White,Qxa5+,47,0:08:45
1449,20,Tchbz,Black,Kb8,48,0:08:36
1450,20,Alfons2357,White,Qb6+,49,0:08:58
1451,20,Tchbz,Black,Bb7,50,0:08:45
1452,20,Alfons2357,White,Bd6+,51,0:09:06
1453,20,Tchbz,Black,Kc8,52,0:08:57
1454,20,Alfons2357,White,Qc7#,53,0:09:15
1455,21,pedro_verdadeiro,White,d4,1,0:09:19
1456,21,Alfons2357,Black,c6,2,0:09:34
1457,21,pedro_verdadeiro,White,e3,3,0:09:23
1458,21,Alfons2357,Black,Nf6,4,0:09:44
1459,21,pedro_verdadeiro,White,Nf3,5,0:09:28
1460,21,Alfons2357,Black,d5,6,0:09:46
1461,21,pedro_verdadeiro,White,Bd3,7,0:09:51
1462,21,Alfons2357,Black,Bg4,8,0:09:56
1463,21,pedro_verdadeiro,White,O-O,9,0:09:58
1464,21,Alfons2357,Black,e6,10,0:09:58
1465,21,pedro_verdadeiro,White,h3,11,0:09:59
1466,21,Alfons2357,Black,Bf5,12,0:10:00
1467,21,pedro_verdadeiro,White,Nc3,13,0:01:10
1468,21,Alfons2357,Black,Nbd7,14,0:05:18
1469,21,pedro_verdadeiro,White,Bd2,15,0:01:27
1470,21,Alfons2357,Black,c5,16,0:05:26
1471,21,pedro_verdadeiro,White,Bb5,17,0:01:29
1472,21,Alfons2357,Black,Bd6,18,0:05:32
1473,21,pedro_verdadeiro,White,Ne5,19,0:01:35
