;game;color;move;turn;timestamp
577;8;black;Be2;66;0:04:28
578;8;white;f4;67;0:03:58
579;8;black;exf4;68;0:04:25
580;8;white;gxf4;69;0:03:58
581;8;black;h5;70;0:04:21
582;8;white;h4;71;0:03:57
583;8;black;Kf7;72;0:04:20
584;8;white;Kd4;73;0:03:56
585;8;black;Ke6;74;0:04:19
586;8;white;Kc5;75;0:03:54
587;8;black;c6;76;0:04:08
588;8;white;Kxc6;77;0:03:53
589;8;black;Bf3+;78;0:04:03
590;8;white;Kc5;79;0:03:51
591;8;black;Kf6;80;0:04:00
592;8;white;Kd4;81;0:03:48
593;8;black;g5;82;0:03:58
594;8;white;hxg5+;83;0:03:47
595;8;black;Kg6;84;0:03:56
596;8;white;Ke3;85;0:03:45
597;8;black;Bg4;86;0:03:55
598;8;white;Kf2;87;0:03:39
599;8;black;h4;88;0:03:54
600;8;white;Kg2;89;0:03:37
601;8;black;h3+;90;0:03:52
602;8;white;Kh2;91;0:03:35
603;8;black;Kh5;92;0:03:49
604;8;white;Kg3;93;0:03:34
605;8;black;Kg6;94;0:03:46
606;8;white;Kh2;95;0:03:32
607;8;black;Kf7;96;0:03:44
608;8;white;Kg3;97;0:03:29
609;8;black;Ke6;98;0:03:43
610;8;white;Kh2;99;0:03:26
611;8;black;Kd5;100;0:03:43
612;8;white;Kg3;101;0:03:24
613;8;black;Ke4;102;0:03:42
614;8;white;g6;103;0:03:23
615;8;black;Bh5;104;0:03:24
616;8;white;g7;105;0:02:50
617;8;black;Bf7;106;0:03:23
618;8;white;Kxh3;107;0:02:49
619;8;black;Kxf4;108;0:03:22
620;8;white;Kg2;109;0:02:48
621;8;black;Kg5;110;0:03:19
622;8;white;Kg3;111;0:02:46
623;8;black;Kg6;112;0:03:13
624;8;white;Kf4;113;0:02:39
625;8;black;Kf6;114;0:03:11
626;8;white;Kf3;115;0:02:20
627;8;black;Kxg7;116;0:03:10
628;8;white;Kf4;117;0:02:19
629;8;black;Kf6;118;0:03:09
630;8;white;Kf3;119;0:02:18
631;8;black;Ke5;120;0:03:06
632;8;white;Kf2;121;0:02:15
633;8;black;Ke4;122;0:03:05
634;8;white;Ke2;123;0:02:10
635;8;black;f4;124;0:03:02
636;8;white;Kf2;125;0:02:09
637;8;black;Bh5;126;0:02:59
638;8;white;Kf1;127;0:02:04
639;8;black;Ke3;128;0:02:58
640;8;white;Ke1;129;0:02:01
641;8;black;Bg4;130;0:02:51
642;8;white;Kf1;131;0:01:54
643;8;black;Bh3+;132;0:02:48
644;8;white;Kg1;133;0:01:38
645;8;black;Ke2;134;0:02:45
646;8;white;Kh2;135;0:01:35
647;8;black;f3;136;0:02:44
648;8;white;Kxh3;137;0:01:32
649;8;black;f2;138;0:02:43
650;8;white;Kg3;139;0:01:32
651;8;black;f1=Q;140;0:02:41
652;8;white;Kg4;141;0:01:30
653;8;black;Ke3;142;0:02:37
654;8;white;Kg5;143;0:01:29
655;8;black;Qb5+;144;0:02:34
656;8;white;Kg6;145;0:01:29
657;8;black;Ke4;146;0:02:33
658;8;white;Kf6;147;0:01:28
659;8;black;Kf4;148;0:02:30
660;8;white;Ke6;149;0:01:27
661;8;black;Ke4;150;0:02:28
662;8;white;Kd6;151;0:01:27
663;8;black;Kd4;152;0:02:27
664;8;white;Ke6;153;0:01:26
665;8;black;Qh5;154;0:02:26
666;8;white;Kf6;155;0:01:26
667;8;black;Ke4;156;0:02:25
668;8;white;Ke6;157;0:01:22
669;8;black;Qh6+;158;0:02:23
670;8;white;Kd7;159;0:01:21
671;8;black;Kd5;160;0:02:21
672;8;white;Kc7;161;0:01:14
673;8;black;Qa6;162;0:02:16
674;8;white;Kd7;163;0:01:12
675;8;black;Qa7+;164;0:02:15
676;8;white;Ke8;165;0:01:12
677;8;black;Kd6;166;0:02:14
678;8;white;Kf8;167;0:01:10
679;8;black;Ke6;168;0:02:13
680;8;white;Kg8;169;0:01:06
681;8;black;Kf6;170;0:02:11
682;8;white;Kf8;171;0:01:02
683;8;black;Qa8#;172;0:02:10
684;9;white;e4;1;0:09:56
685;9;black;e5;2;0:09:58
686;9;white;Nc3;3;0:09:45
687;9;black;Nf6;4;0:09:50
688;9;white;Bc4;5;0:09:26
689;9;black;d6;6;0:09:40
690;9;white;d3;7;0:09:04
691;9;black;Nc6;8;0:09:36
692;9;white;Nf3;9;0:08:36
693;9;black;Bg4;10;0:09:32
694;9;white;Be3;11;0:08:04
695;9;black;Be7;12;0:09:23
696;9;white;Qd2;13;0:07:50
697;9;black;Qd7;14;0:09:08
698;9;white;d4;15;0:07:36
699;9;black;exd4;16;0:09:05
700;9;white;Bxd4;17;0:07:30
701;9;black;Nxd4;18;0:08:58
702;9;white;Nxd4;19;0:07:29
703;9;black;Bh5;20;0:08:49
704;9;white;Nde2;21;0:07:26
705;9;black;O-O-O;22;0:08:45
706;9;white;O-O;23;0:07:15
707;9;black;Ng4;24;0:08:30
708;9;white;Nd5;25;0:06:46
709;9;black;Kb8;26;0:08:19
710;9;white;Nxe7;27;0:06:39
711;9;black;Qxe7;28;0:08:17
712;9;white;Bd5;29;0:06:28
713;9;black;f5;30;0:08:06
714;9;white;Qb4;31;0:06:05
715;9;black;b6;32;0:07:54
716;9;white;Nf4;33;0:05:29
717;9;black;fxe4;34;0:07:16
718;9;white;Nxh5;35;0:05:23
719;9;black;Qh4;36;0:07:13
720;9;white;h3;37;0:05:11
721;9;black;Qxh5;38;0:07:02
722;9;white;Qxe4;39;0:04:56
723;9;black;Nf6;40;0:06:47
724;9;white;Qc4;41;0:02:37
725;9;black;Nxd5;42;0:06:42
726;9;white;Rfe1;43;0:02:29
727;9;black;Rde8;44;0:06:32
728;9;white;Re2;45;0:02:25
729;9;black;Rxe2;46;0:06:28
730;9;white;Qxe2;47;0:02:24
731;9;black;Qxe2;48;0:06:26
732;9;white;Kh2;49;0:02:20
733;10;white;c4;1;0:09:59
734;10;black;d5;2;0:09:46
735;10;white;c5;3;0:09:37
736;10;black;e5;4;0:09:39
737;10;white;g3;5;0:09:23
