,game,player,color,move,turn
1077,15,Alfons2357,White,Qe4+,37
1078,15,frost_12,Black,Kf7,38
1079,15,Alfons2357,White,Qxc2,39
1080,15,frost_12,Black,d5,40
1081,15,Alfons2357,White,Qxc6,41
1082,15,frost_12,Black,Rb8,42
1083,15,Alfons2357,White,Bxb8,43
1084,15,frost_12,Black,h4,44
1085,15,Alfons2357,White,Re5,45
1086,15,frost_12,Black,g4,46
1087,15,Alfons2357,White,Qc7+,47
1088,15,frost_12,Black,Kg6,48
1089,15,Alfons2357,White,Qd6+,49
1090,15,frost_12,Black,Kf7,50
1091,15,Alfons2357,White,Re7+,51
1092,15,frost_12,Black,Kf8,52
1093,16,Alfons2357,White,e4,1
1094,16,M_Taboada,Black,e5,2
1095,16,Alfons2357,White,Nf3,3
1096,16,M_Taboada,Black,Nc6,4
1097,16,Alfons2357,White,Bc4,5
1098,16,M_Taboada,Black,h6,6
1099,16,Alfons2357,White,d4,7
1100,16,M_Taboada,Black,exd4,8
1101,16,Alfons2357,White,Nxd4,9
1102,16,M_Taboada,Black,Nxd4,10
1103,16,Alfons2357,White,Qxd4,11
1104,16,M_Taboada,Black,c5,12
1105,16,Alfons2357,White,Qe3,13
1106,16,M_Taboada,Black,f6,14
1107,16,Alfons2357,White,b3,15
1108,16,M_Taboada,Black,Ne7,16
1109,16,Alfons2357,White,Ba3,17
1110,16,M_Taboada,Black,d6,18
1111,16,Alfons2357,White,Nc3,19
1112,16,M_Taboada,Black,b6,20
1113,16,Alfons2357,White,Qf3,21
1114,16,M_Taboada,Black,Bb7,22
1115,16,Alfons2357,White,Bb5+,23
1116,16,M_Taboada,Black,Bc6,24
1117,16,Alfons2357,White,O-O-O,25
1118,16,M_Taboada,Black,Qd7,26
1119,16,Alfons2357,White,Ba6,27
1120,16,M_Taboada,Black,b5,28
1121,16,Alfons2357,White,Rxd6,29
1122,16,M_Taboada,Black,Qxd6,30
1123,16,Alfons2357,White,Nxb5,31
1124,16,M_Taboada,Black,Bxb5,32
1125,16,Alfons2357,White,Bxb5+,33
1126,16,M_Taboada,Black,Nc6,34
1127,16,Alfons2357,White,Qh5+,35
1128,16,M_Taboada,Black,Ke7,36
1129,16,Alfons2357,White,Bxc5,37
1130,17,Alfons2357,White,e4,1
1131,17,RicRoque,Black,e5,2
1132,17,Alfons2357,White,Nf3,3
1133,17,RicRoque,Black,Nc6,4
1134,17,Alfons2357,White,Bc4,5
1135,17,RicRoque,Black,h6,6
1136,17,Alfons2357,White,O-O,7
1137,17,RicRoque,Black,Na5,8
1138,17,Alfons2357,White,Bb5,9
1139,17,RicRoque,Black,Qf6,10
1140,17,Alfons2357,White,b4,11
1141,17,RicRoque,Black,a6,12
1142,17,Alfons2357,White,Be2,13
1143,17,RicRoque,Black,Nc6,14
1144,17,Alfons2357,White,d4,15
1145,17,RicRoque,Black,Nxb4,16
1146,17,Alfons2357,White,dxe5,17
1147,17,RicRoque,Black,Qc6,18
1148,17,Alfons2357,White,c3,19
1149,17,RicRoque,Black,Qxe4,20
1150,17,Alfons2357,White,Nbd2,21
1151,17,RicRoque,Black,Nd5,22
1152,17,Alfons2357,White,Nxe4,23
1153,17,RicRoque,Black,Nf4,24
1154,17,Alfons2357,White,Bxf4,25
1155,17,RicRoque,Black,Ne7,26
1156,17,Alfons2357,White,c4,27
1157,17,RicRoque,Black,Ng6,28
1158,17,Alfons2357,White,Bg3,29
1159,17,RicRoque,Black,h5,30
1160,17,Alfons2357,White,Neg5,31
1161,17,RicRoque,Black,h4,32
1162,17,Alfons2357,White,Nxf7,33
1163,17,RicRoque,Black,Kxf7,34
1164,17,Alfons2357,White,Ng5+,35
1165,17,RicRoque,Black,Ke8,36
1166,17,Alfons2357,White,Qd3,37
1167,17,RicRoque,Black,hxg3,38
1168,17,Alfons2357,White,Qxg3,39
1169,17,RicRoque,Black,Nh4,40
1170,17,Alfons2357,White,Rad1,41
1171,17,RicRoque,Black,Nf5,42
1172,17,Alfons2357,White,Qd3,43
1173,17,RicRoque,Black,Bc5,44
1174,17,Alfons2357,White,e6,45
1175,17,RicRoque,Black,dxe6,46
1176,17,Alfons2357,White,Qd8#,47
1177,18,Alfons2357,White,e4,1
1178,18,azaroth6,Black,e5,2
1179,18,Alfons2357,White,Nf3,3
1180,18,azaroth6,Black,Nc6,4
1181,18,Alfons2357,White,Bc4,5
1182,18,azaroth6,Black,h6,6
1183,18,Alfons2357,White,d4,7
1184,18,azaroth6,Black,exd4,8
1185,18,Alfons2357,White,Nxd4,9
1186,18,azaroth6,Black,Nf6,10
1187,18,Alfons2357,White,O-O,11
1188,18,azaroth6,Black,Bc5,12
1189,18,Alfons2357,White,Nf5,13
1190,18,azaroth6,Black,O-O,14
1191,18,Alfons2357,White,Nxh6+,15
1192,18,azaroth6,Black,gxh6,16
1193,18,Alfons2357,White,Bxh6,17
1194,18,azaroth6,Black,d6,18
1195,18,Alfons2357,White,Re1,19
1196,18,azaroth6,Black,Re8,20
1197,18,Alfons2357,White,c3,21
1198,18,azaroth6,Black,Nxe4,22
1199,18,Alfons2357,White,Bxf7+,23
1200,18,azaroth6,Black,Kxf7,24
1201,18,Alfons2357,White,Qf3+,25
1202,18,azaroth6,Black,Nf6,26
1203,18,Alfons2357,White,Qd5+,27
1204,18,azaroth6,Black,Be6,28
1205,18,Alfons2357,White,Qg5,29
1206,18,azaroth6,Black,Rg8,30
1207,18,Alfons2357,White,Qh4,31
1208,18,azaroth6,Black,Ng4,32
1209,18,Alfons2357,White,Qh5+,33
1210,18,azaroth6,Black,Rg6,34
1211,18,Alfons2357,White,b4,35
1212,18,azaroth6,Black,Bxf2+,36
1213,18,Alfons2357,White,Kh1,37
1214,18,azaroth6,Black,Bxe1,38
1215,19,Alfons2357,White,e4,1
1216,19,CulturedThug,Black,e5,2
1217,19,Alfons2357,White,Nf3,3
1218,19,CulturedThug,Black,Nc6,4
1219,19,Alfons2357,White,Bc4,5
1220,19,CulturedThug,Black,h6,6
1221,19,Alfons2357,White,O-O,7
1222,19,CulturedThug,Black,Nf6,8
1223,19,Alfons2357,White,d4,9
1224,19,CulturedThug,Black,exd4,10
1225,19,Alfons2357,White,Nxd4,11
1226,19,CulturedThug,Black,Nxd4,12
1227,19,Alfons2357,White,Qxd4,13
1228,19,CulturedThug,Black,d6,14
1229,19,Alfons2357,White,e5,15
1230,19,CulturedThug,Black,c5,16
1231,19,Alfons2357,White,Bxf7+,17
1232,19,CulturedThug,Black,Kxf7,18
1233,19,Alfons2357,White,Qc4+,19
1234,19,CulturedThug,Black,Be6,20
