"game";"player";"color";"move";"turn"
43;"Chemtech46";"Black";"Bxd4";12
43;"Alfons2357";"White";"Bxg5";13
43;"Chemtech46";"Black";"f6";14
43;"Alfons2357";"White";"c3";15
43;"Chemtech46";"Black";"Bc5";16
43;"Alfons2357";"White";"Bxg8";17
43;"Chemtech46";"Black";"Rxg8";18
43;"Alfons2357";"White";"Qh5+";19
43;"Chemtech46";"Black";"Ke7";20
43;"Alfons2357";"White";"Bxf6+";21
43;"Chemtech46";"Black";"gxf6";22
43;"Alfons2357";"White";"Qxh7+";23
43;"Chemtech46";"Black";"Kf8";24
43;"Alfons2357";"White";"Qh6+";25
43;"Chemtech46";"Black";"Kf7";26
43;"Alfons2357";"White";"Nd2";27
43;"Chemtech46";"Black";"Bg4";28
43;"Alfons2357";"White";"Nb3";29
43;"Chemtech46";"Black";"Bb6";30
43;"Alfons2357";"White";"Kh1";31
43;"Chemtech46";"Black";"Rh8";32
43;"Alfons2357";"White";"Qd2";33
43;"Chemtech46";"Black";"Rh7";34
43;"Alfons2357";"White";"f3";35
43;"Chemtech46";"Black";"Be6";36
43;"Alfons2357";"White";"f4";37
43;"Chemtech46";"Black";"Rah8";38
43;"Alfons2357";"White";"h3";39
43;"Chemtech46";"Black";"Bxh3";40
43;"Alfons2357";"White";"gxh3";41
43;"Chemtech46";"Black";"Rxh3+";42
43;"Alfons2357";"White";"Kg2";43
43;"Chemtech46";"Black";"Rh2+";44
43;"Alfons2357";"White";"Kg3";45
43;"Chemtech46";"Black";"Rxd2";46
43;"Alfons2357";"White";"fxe5";47
43;"Chemtech46";"Black";"Rd3+";48
43;"Alfons2357";"White";"Kg4";49
43;"Chemtech46";"Black";"Nxe5+";50
43;"Alfons2357";"White";"Kf5";51
43;"Chemtech46";"Black";"Rh5+";52
43;"Alfons2357";"White";"Kf4";53
43;"Chemtech46";"Black";"Be3+";54
43;"Alfons2357";"White";"Kg3";55
43;"Chemtech46";"Black";"Bg5+";56
43;"Alfons2357";"White";"Kg2";57
43;"Chemtech46";"Black";"Rhh3";58
43;"Alfons2357";"White";"Rae1";59
43;"Chemtech46";"Black";"Rdg3+";60
43;"Alfons2357";"White";"Kf2";61
43;"Chemtech46";"Black";"Nd3+";62
43;"Alfons2357";"White";"Ke2";63
43;"Chemtech46";"Black";"Nxe1";64
43;"Alfons2357";"White";"Kxe1";65
43;"Chemtech46";"Black";"Re3+";66
43;"Alfons2357";"White";"Kf2";67
43;"Chemtech46";"Black";"Ref3+";68
43;"Alfons2357";"White";"Kg1";69
43;"Chemtech46";"Black";"Rxf1+";70
43;"Alfons2357";"White";"Kxf1";71
43;"Chemtech46";"Black";"Re3";72
43;"Alfons2357";"White";"Kf2";73
43;"Chemtech46";"Black";"Rxe4";74
43;"Alfons2357";"White";"Nd4";75
43;"Chemtech46";"Black";"Be3+";76
43;"Alfons2357";"White";"Kf3";77
43;"Chemtech46";"Black";"Rf4+";78
43;"Alfons2357";"White";"Kxe3";79
43;"Chemtech46";"Black";"Rf1";80
43;"Alfons2357";"White";"Ke4";81
43;"Chemtech46";"Black";"Rd1";82
43;"Alfons2357";"White";"b4";83
43;"Chemtech46";"Black";"Rd2";84
43;"Alfons2357";"White";"a4";85
43;"Chemtech46";"Black";"Kg6";86
43;"Alfons2357";"White";"Nb5";87
43;"Chemtech46";"Black";"a6";88
43;"Alfons2357";"White";"Nxc7";89
43;"Chemtech46";"Black";"Ra2";90
43;"Alfons2357";"White";"a5";91
43;"Chemtech46";"Black";"Re2+";92
43;"Alfons2357";"White";"Kd5";93
43;"Chemtech46";"Black";"Rd2+";94
43;"Alfons2357";"White";"Kc4";95
43;"Chemtech46";"Black";"f5";96
43;"Alfons2357";"White";"Nd5";97
43;"Chemtech46";"Black";"Rg2";98
