,game,player,color,move,turn
1188,17,piscat0re,Black,Qxg5+,60
1189,17,Alfons2357,White,Rg3,61
1190,17,piscat0re,Black,Rh2+,62
1191,17,Alfons2357,White,Kxh2,63
1192,17,piscat0re,Black,Rh8+,64
1193,17,Alfons2357,White,Kg2,65
1194,17,piscat0re,Black,Qxg3+,66
1195,17,Alfons2357,White,Qxg3+,67
1196,17,piscat0re,Black,Kf6,68
1197,17,Alfons2357,White,Qxc7,69
1198,17,piscat0re,Black,Ke7,70
1199,17,Alfons2357,White,Qxb7,71
1200,17,piscat0re,Black,Rg8+,72
1201,17,Alfons2357,White,Kf3,73
1202,17,piscat0re,Black,Rb8,74
1203,17,Alfons2357,White,Qe4+,75
1204,17,piscat0re,Black,Kd8,76
1205,17,Alfons2357,White,Qh4+,77
1206,17,piscat0re,Black,Kc8,78
1207,17,Alfons2357,White,a3,79
1208,17,piscat0re,Black,f6,80
1209,17,Alfons2357,White,c6,81
1210,17,piscat0re,Black,Nf8,82
1211,17,Alfons2357,White,Qh8,83
1212,17,piscat0re,Black,Kc7,84
1213,17,Alfons2357,White,Qxf6,85
1214,17,piscat0re,Black,Nh7,86
1215,17,Alfons2357,White,Qg7+,87
1216,17,piscat0re,Black,Kxc6,88
1217,17,Alfons2357,White,Qxh7,89
1218,17,piscat0re,Black,Rf8+,90
1219,17,Alfons2357,White,Ke3,91
1220,17,piscat0re,Black,Re8+,92
1221,17,Alfons2357,White,Ne5+,93
1222,17,piscat0re,Black,Kd5,94
1223,17,Alfons2357,White,Qd7#,95
1224,18,GuidoDi,White,e4,1
1225,18,Alfons2357,Black,c6,2
1226,18,GuidoDi,White,d4,3
1227,18,Alfons2357,Black,d5,4
1228,18,GuidoDi,White,e5,5
1229,18,Alfons2357,Black,Bf5,6
1230,18,GuidoDi,White,Nf3,7
1231,18,Alfons2357,Black,e6,8
1232,18,GuidoDi,White,c3,9
1233,18,Alfons2357,Black,Ne7,10
1234,18,GuidoDi,White,Nbd2,11
1235,18,Alfons2357,Black,Qc7,12
1236,18,GuidoDi,White,Be2,13
1237,18,Alfons2357,Black,a6,14
1238,18,GuidoDi,White,O-O,15
1239,18,Alfons2357,Black,c5,16
1240,18,GuidoDi,White,Nb3,17
1241,18,Alfons2357,Black,Nec6,18
1242,18,GuidoDi,White,Nxc5,19
1243,18,Alfons2357,Black,Bxc5,20
1244,18,GuidoDi,White,dxc5,21
1245,18,Alfons2357,Black,Nd7,22
1246,18,GuidoDi,White,Be3,23
1247,18,Alfons2357,Black,O-O,24
1248,18,GuidoDi,White,b4,25
1249,18,Alfons2357,Black,b6,26
1250,18,GuidoDi,White,cxb6,27
1251,18,Alfons2357,Black,Nxb6,28
1252,18,GuidoDi,White,Bxb6,29
1253,18,Alfons2357,Black,Qxb6,30
1254,18,GuidoDi,White,a3,31
1255,18,Alfons2357,Black,a5,32
1256,18,GuidoDi,White,Rb1,33
1257,18,Alfons2357,Black,Rfc8,34
1258,18,GuidoDi,White,bxa5,35
1259,18,Alfons2357,Black,Qxa5,36
1260,18,GuidoDi,White,Bb5,37
1261,18,Alfons2357,Black,Bxb1,38
1262,18,GuidoDi,White,Qxb1,39
1263,18,Alfons2357,Black,Qxc3,40
1264,18,GuidoDi,White,Ng5,41
1265,18,Alfons2357,Black,Nd4,42
1266,18,GuidoDi,White,Bd7,43
1267,18,Alfons2357,Black,Ne2+,44
1268,18,GuidoDi,White,Kh1,45
1269,18,Alfons2357,Black,f5,46
1270,18,GuidoDi,White,Bxe6+,47
1271,18,Alfons2357,Black,Kh8,48
1272,18,GuidoDi,White,Bxc8,49
1273,18,Alfons2357,Black,Rxc8,50
1274,18,GuidoDi,White,Nf7+,51
1275,18,Alfons2357,Black,Kg8,52
1276,18,GuidoDi,White,Nd6,53
1277,18,Alfons2357,Black,Qc2,54
1278,18,GuidoDi,White,Nxc8,55
1279,18,Alfons2357,Black,Qxc8,56
1280,18,GuidoDi,White,Re1,57
1281,18,Alfons2357,Black,Nc3,58
1282,18,GuidoDi,White,Qc1,59
1283,18,Alfons2357,Black,d4,60
1284,18,GuidoDi,White,e6,61
1285,18,Alfons2357,Black,Kf8,62
1286,18,GuidoDi,White,e7+,63
1287,18,Alfons2357,Black,Ke8,64
1288,18,GuidoDi,White,h3,65
1289,18,Alfons2357,Black,Qa8,66
1290,18,GuidoDi,White,Qd2,67
1291,18,Alfons2357,Black,Qa4,68
1292,18,GuidoDi,White,Qb2,69
1293,18,Alfons2357,Black,Qa7,70
1294,18,GuidoDi,White,Qb4,71
1295,18,Alfons2357,Black,Nd5,72
1296,18,GuidoDi,White,Qb5+,73
1297,18,Alfons2357,Black,Qd7,74
1298,18,GuidoDi,White,Qxd7+,75
1299,18,Alfons2357,Black,Kxd7,76
1300,18,GuidoDi,White,e8=Q+,77
1301,18,Alfons2357,Black,Kc7,78
1302,18,GuidoDi,White,Qe7+,79
1303,18,Alfons2357,Black,Nxe7,80
1304,18,GuidoDi,White,Rxe7+,81
1305,18,Alfons2357,Black,Kd6,82
1306,18,GuidoDi,White,Rxg7,83
1307,18,Alfons2357,Black,Kd5,84
1308,18,GuidoDi,White,Rxh7,85
1309,18,Alfons2357,Black,d3,86
1310,18,GuidoDi,White,Rd7+,87
1311,18,Alfons2357,Black,Kc4,88
1312,18,GuidoDi,White,Rxd3,89
1313,18,Alfons2357,Black,Kxd3,90
1314,18,GuidoDi,White,a4,91
1315,18,Alfons2357,Black,Kc4,92
1316,18,GuidoDi,White,a5,93
1317,18,Alfons2357,Black,Kb5,94
1318,18,GuidoDi,White,h4,95
1319,18,Alfons2357,Black,Kxa5,96
1320,18,GuidoDi,White,h5,97
1321,18,Alfons2357,Black,Kb6,98
1322,18,GuidoDi,White,h6,99
1323,18,Alfons2357,Black,Kc7,100
1324,18,GuidoDi,White,h7,101
1325,18,Alfons2357,Black,Kd8,102
1326,18,GuidoDi,White,h8=Q+,103
1327,18,Alfons2357,Black,Ke7,104
1328,18,GuidoDi,White,Qh7+,105
1329,18,Alfons2357,Black,Kf6,106
1330,18,GuidoDi,White,Qh6+,107
1331,18,Alfons2357,Black,Ke5,108
1332,18,GuidoDi,White,g3,109
1333,18,Alfons2357,Black,f4,110
1334,18,GuidoDi,White,gxf4+,111
1335,18,Alfons2357,Black,Ke4,112
1336,18,GuidoDi,White,Qh4,113
1337,18,Alfons2357,Black,Kf3,114
1338,18,GuidoDi,White,f5,115
1339,18,Alfons2357,Black,Ke2,116
1340,18,GuidoDi,White,f6,117
1341,18,Alfons2357,Black,Kd2,118
1342,18,GuidoDi,White,f7,119
1343,18,Alfons2357,Black,Kc2,120
1344,18,GuidoDi,White,f8=Q,121
1345,18,Alfons2357,Black,Kb2,122
1346,18,GuidoDi,White,Qhd8,123
1347,18,Alfons2357,Black,Kc2,124
1348,18,GuidoDi,White,Qfe7,125
1349,18,Alfons2357,Black,Kb2,126
1350,18,GuidoDi,White,Qec7,127
1351,19,Alfons2357,White,e4,1
1352,19,plemercier,Black,Nf6,2
1353,19,Alfons2357,White,Nf3,3
1354,19,plemercier,Black,Nxe4,4
1355,19,Alfons2357,White,Bc4,5
1356,19,plemercier,Black,e6,6
1357,19,Alfons2357,White,Nc3,7
1358,19,plemercier,Black,Nxc3,8
1359,19,Alfons2357,White,bxc3,9
1360,19,plemercier,Black,d5,10
1361,19,Alfons2357,White,Bb3,11
1362,19,plemercier,Black,g6,12
1363,19,Alfons2357,White,d4,13
1364,19,plemercier,Black,Bg7,14
1365,19,Alfons2357,White,Ne5,15
1366,19,plemercier,Black,O-O,16
1367,19,Alfons2357,White,O-O,17
1368,19,plemercier,Black,Nc6,18
1369,19,Alfons2357,White,Nxc6,19
1370,19,plemercier,Black,bxc6,20
1371,19,Alfons2357,White,Ba3,21
1372,19,plemercier,Black,Re8,22
1373,19,Alfons2357,White,Re1,23
1374,19,plemercier,Black,Qg5,24
1375,19,Alfons2357,White,Re5,25
1376,19,plemercier,Black,Bxe5,26
1377,19,Alfons2357,White,dxe5,27
1378,19,plemercier,Black,Qxe5,28
1379,19,Alfons2357,White,Qe1,29
1380,19,plemercier,Black,Qxc3,30
1381,19,Alfons2357,White,Qxc3,31
1382,19,plemercier,Black,e5,32
1383,19,Alfons2357,White,Qf3,33
1384,19,plemercier,Black,e4,34
1385,19,Alfons2357,White,Qf6,35
1386,19,plemercier,Black,Re6,36
1387,19,Alfons2357,White,Qd8+,37
1388,19,plemercier,Black,Kg7,38
1389,19,Alfons2357,White,Bb2+,39
1390,19,plemercier,Black,f6,40
1391,19,Alfons2357,White,Qxc7+,41
1392,19,plemercier,Black,Kh6,42
1393,19,Alfons2357,White,Bc1+,43
1394,19,plemercier,Black,g5,44
1395,19,Alfons2357,White,h4,45
1396,19,plemercier,Black,Re5,46
1397,19,Alfons2357,White,hxg5+,47
1398,19,plemercier,Black,fxg5,48
1399,19,Alfons2357,White,Qxe5,49
1400,19,plemercier,Black,Ba6,50
1401,19,Alfons2357,White,Qxg5#,51
1402,20,Alfons2357,White,e4,1
1403,20,Tchbz,Black,e5,2
1404,20,Alfons2357,White,Nf3,3
1405,20,Tchbz,Black,Nc6,4
1406,20,Alfons2357,White,Bc4,5
1407,20,Tchbz,Black,f6,6
1408,20,Alfons2357,White,d3,7
1409,20,Tchbz,Black,Bb4+,8
1410,20,Alfons2357,White,c3,9
1411,20,Tchbz,Black,Bc5,10
1412,20,Alfons2357,White,O-O,11
1413,20,Tchbz,Black,Nge7,12
1414,20,Alfons2357,White,b4,13
1415,20,Tchbz,Black,Bb6,14
1416,20,Alfons2357,White,Ba3,15
1417,20,Tchbz,Black,a5,16
1418,20,Alfons2357,White,b5,17
1419,20,Tchbz,Black,Na7,18
1420,20,Alfons2357,White,Nbd2,19
1421,20,Tchbz,Black,c6,20
1422,20,Alfons2357,White,Qa4,21
1423,20,Tchbz,Black,d5,22
1424,20,Alfons2357,White,bxc6,23
1425,20,Tchbz,Black,bxc6,24
1426,20,Alfons2357,White,exd5,25
1427,20,Tchbz,Black,Nxd5,26
1428,20,Alfons2357,White,Bxd5,27
1429,20,Tchbz,Black,Qxd5,28
1430,20,Alfons2357,White,c4,29
1431,20,Tchbz,Black,Qxd3,30
1432,20,Alfons2357,White,Rad1,31
1433,20,Tchbz,Black,e4,32
1434,20,Alfons2357,White,Rfe1,33
1435,20,Tchbz,Black,Bxf2+,34
1436,20,Alfons2357,White,Kxf2,35
1437,20,Tchbz,Black,e3+,36
1438,20,Alfons2357,White,Rxe3+,37
1439,20,Tchbz,Black,Qxe3+,38
1440,20,Alfons2357,White,Kxe3,39
1441,20,Tchbz,Black,Kd7,40
1442,20,Alfons2357,White,Ne4+,41
1443,20,Tchbz,Black,Kc7,42
1444,20,Alfons2357,White,Bd6+,43
1445,20,Tchbz,Black,Kd7,44
1446,20,Alfons2357,White,Bc5+,45
1447,20,Tchbz,Black,Kc7,46
1448,20,Alfons2357,White,Qxa5+,47
1449,20,Tchbz,Black,Kb8,48
1450,20,Alfons2357,White,Qb6+,49
1451,20,Tchbz,Black,Bb7,50
1452,20,Alfons2357,White,Bd6+,51
1453,20,Tchbz,Black,Kc8,52
1454,20,Alfons2357,White,Qc7#,53
1455,21,pedro_verdadeiro,White,d4,1
1456,21,Alfons2357,Black,c6,2
1457,21,pedro_verdadeiro,White,e3,3
1458,21,Alfons2357,Black,Nf6,4
1459,21,pedro_verdadeiro,White,Nf3,5
1460,21,Alfons2357,Black,d5,6
