"game";"player";"color";"move";"turn"
23;"Fischer Robert J (USA)";"White";"h4";17
23;"Fischer Robert J (USA)";"White";"d3";19
24;"Fischer Robert J (USA)";"White";"e4";1
24;"Fischer Robert J (USA)";"White";"Nf3";3
24;"Fischer Robert J (USA)";"White";"d4";5
24;"Fischer Robert J (USA)";"White";"Nxd4";7
24;"Fischer Robert J (USA)";"White";"Nb5";9
24;"Fischer Robert J (USA)";"White";"c4";11
24;"Fischer Robert J (USA)";"White";"N5c3";13
24;"Fischer Robert J (USA)";"White";"g3";15
24;"Fischer Robert J (USA)";"White";"Bg2";17
24;"Fischer Robert J (USA)";"White";"O-O";19
25;"Fischer Robert J (USA)";"White";"e4";1
25;"Fischer Robert J (USA)";"White";"Nc3";3
25;"Fischer Robert J (USA)";"White";"Nge2";5
25;"Fischer Robert J (USA)";"White";"g3";7
25;"Fischer Robert J (USA)";"White";"exd5";9
25;"Fischer Robert J (USA)";"White";"d3";11
25;"Fischer Robert J (USA)";"White";"Bg2";13
25;"Fischer Robert J (USA)";"White";"Bg5";15
25;"Fischer Robert J (USA)";"White";"Bxf6";17
25;"Fischer Robert J (USA)";"White";"Ne4";19
26;"Fischer Robert J (USA)";"White";"e4";1
26;"Fischer Robert J (USA)";"White";"Nc3";3
26;"Fischer Robert J (USA)";"White";"Nge2";5
26;"Fischer Robert J (USA)";"White";"d4";7
26;"Fischer Robert J (USA)";"White";"Nxd4";9
26;"Fischer Robert J (USA)";"White";"Be3";11
26;"Fischer Robert J (USA)";"White";"Qd2";13
26;"Fischer Robert J (USA)";"White";"f3";15
26;"Fischer Robert J (USA)";"White";"O-O-O";17
26;"Fischer Robert J (USA)";"White";"g4";19
27;"Fischer Robert J (USA)";"White";"e4";1
27;"Fischer Robert J (USA)";"White";"Nf3";3
27;"Fischer Robert J (USA)";"White";"Bb5";5
27;"Fischer Robert J (USA)";"White";"Ba4";7
27;"Fischer Robert J (USA)";"White";"O-O";9
27;"Fischer Robert J (USA)";"White";"Re1";11
27;"Fischer Robert J (USA)";"White";"Bb3";13
27;"Fischer Robert J (USA)";"White";"c3";15
27;"Fischer Robert J (USA)";"White";"h3";17
27;"Fischer Robert J (USA)";"White";"d4";19
28;"Fischer, Robert J";"White";"e4";1
28;"Fischer, Robert J";"White";"Nf3";3
28;"Fischer, Robert J";"White";"Bb5";5
28;"Fischer, Robert J";"White";"Bxc6";7
28;"Fischer, Robert J";"White";"O-O";9
28;"Fischer, Robert J";"White";"d4";11
28;"Fischer, Robert J";"White";"Nxd4";13
28;"Fischer, Robert J";"White";"Ne2";15
28;"Fischer, Robert J";"White";"Rxd1";17
28;"Fischer, Robert J";"White";"Nbc3";19
29;"Fischer, Robert J";"White";"e4";1
29;"Fischer, Robert J";"White";"Nc3";3
29;"Fischer, Robert J";"White";"Nge2";5
29;"Fischer, Robert J";"White";"Nd5";7
29;"Fischer, Robert J";"White";"Nec3";9
29;"Fischer, Robert J";"White";"Nxd5";11
29;"Fischer, Robert J";"White";"g3";13
29;"Fischer, Robert J";"White";"Bg2";15
29;"Fischer, Robert J";"White";"h4";17
29;"Fischer, Robert J";"White";"d3";19
30;"Fischer, Robert J";"White";"e4";1
30;"Fischer, Robert J";"White";"Nf3";3
30;"Fischer, Robert J";"White";"Bb5";5
30;"Fischer, Robert J";"White";"Ba4";7
30;"Fischer, Robert J";"White";"O-O";9
30;"Fischer, Robert J";"White";"Re1";11
30;"Fischer, Robert J";"White";"Bb3";13
30;"Fischer, Robert J";"White";"c3";15
30;"Fischer, Robert J";"White";"h3";17
30;"Fischer, Robert J";"White";"d4";19
31;"Fischer, Robert J";"White";"e4";1
31;"Fischer, Robert J";"White";"Nc3";3
31;"Fischer, Robert J";"White";"Nge2";5
31;"Fischer, Robert J";"White";"g3";7
31;"Fischer, Robert J";"White";"exd5";9
31;"Fischer, Robert J";"White";"Bg2";11
31;"Fischer, Robert J";"White";"Nd5";13
31;"Fischer, Robert J";"White";"Nef4";15
31;"Fischer, Robert J";"White";"Nxd5";17
31;"Fischer, Robert J";"White";"O-O";19
32;"Robert James Fischer";"White";"e4";1
32;"Robert James Fischer";"White";"Nf3";3
32;"Robert James Fischer";"White";"Bb5";5
32;"Robert James Fischer";"White";"Ba4";7
32;"Robert James Fischer";"White";"O-O";9
32;"Robert James Fischer";"White";"Re1";11
32;"Robert James Fischer";"White";"Bb3";13
32;"Robert James Fischer";"White";"c3";15
32;"Robert James Fischer";"White";"h3";17
32;"Robert James Fischer";"White";"d4";19
33;"Robert James Fischer";"White";"e4";1
33;"Robert James Fischer";"White";"Nf3";3
33;"Robert James Fischer";"White";"d4";5
33;"Robert James Fischer";"White";"Nxd4";7
33;"Robert James Fischer";"White";"Nb5";9
33;"Robert James Fischer";"White";"c4";11
33;"Robert James Fischer";"White";"N5c3";13
33;"Robert James Fischer";"White";"g3";15
33;"Robert James Fischer";"White";"Bg2";17
33;"Robert James Fischer";"White";"O-O";19
34;"Robert James Fischer";"White";"e4";1
34;"Robert James Fischer";"White";"Nf3";3
34;"Robert James Fischer";"White";"Bb5";5
34;"Robert James Fischer";"White";"Ba4";7
34;"Robert James Fischer";"White";"O-O";9
34;"Robert James Fischer";"White";"Re1";11
34;"Robert James Fischer";"White";"Bb3";13
34;"Robert James Fischer";"White";"c3";15
34;"Robert James Fischer";"White";"h3";17
34;"Robert James Fischer";"White";"d4";19
35;"Robert James Fischer";"White";"e4";1
35;"Robert James Fischer";"White";"Nc3";3
35;"Robert James Fischer";"White";"Nge2";5
35;"Robert James Fischer";"White";"d4";7
35;"Robert James Fischer";"White";"Nxd4";9
35;"Robert James Fischer";"White";"Be3";11
35;"Robert James Fischer";"White";"Qd2";13
35;"Robert James Fischer";"White";"f3";15
35;"Robert James Fischer";"White";"O-O-O";17
35;"Robert James Fischer";"White";"g4";19
38;"Fischer Robert J (USA)";"White";"e4";1
38;"Fischer Robert J (USA)";"White";"Nf3";3
38;"Fischer Robert J (USA)";"White";"d4";5
38;"Fischer Robert J (USA)";"White";"Nxd4";7
38;"Fischer Robert J (USA)";"White";"Nb5";9
38;"Fischer Robert J (USA)";"White";"Bf4";11
38;"Fischer Robert J (USA)";"White";"Be3";13
38;"Fischer Robert J (USA)";"White";"Bg5";15
38;"Fischer Robert J (USA)";"White";"Qd2";17
38;"Fischer Robert J (USA)";"White";"Qxa5";19
39;"Fischer Robert J (USA)";"White";"e4";1
39;"Fischer Robert J (USA)";"White";"Nf3";3
39;"Fischer Robert J (USA)";"White";"d4";5
39;"Fischer Robert J (USA)";"White";"Nxd4";7
39;"Fischer Robert J (USA)";"White";"Nc3";9
39;"Fischer Robert J (USA)";"White";"Bc4";11
39;"Fischer Robert J (USA)";"White";"Bb3";13
39;"Fischer Robert J (USA)";"White";"Be3";15
39;"Fischer Robert J (USA)";"White";"O-O";17
39;"Fischer Robert J (USA)";"White";"f4";19
40;"Fischer Robert J (USA)";"White";"c4";1
40;"Fischer Robert J (USA)";"White";"Nf3";3
40;"Fischer Robert J (USA)";"White";"d4";5
40;"Fischer Robert J (USA)";"White";"Nc3";7
40;"Fischer Robert J (USA)";"White";"Bg5";9
40;"Fischer Robert J (USA)";"White";"e3";11
40;"Fischer Robert J (USA)";"White";"Bh4";13
40;"Fischer Robert J (USA)";"White";"cxd5";15
40;"Fischer Robert J (USA)";"White";"Bxe7";17
40;"Fischer Robert J (USA)";"White";"Nxd5";19
41;"Fischer Robert J (USA)";"White";"c4";1
41;"Fischer Robert J (USA)";"White";"Nc3";3
41;"Fischer Robert J (USA)";"White";"Nf3";5
41;"Fischer Robert J (USA)";"White";"g3";7
41;"Fischer Robert J (USA)";"White";"Bg2";9
41;"Fischer Robert J (USA)";"White";"O-O";11
41;"Fischer Robert J (USA)";"White";"d4";13
41;"Fischer Robert J (USA)";"White";"Nxd4";15
41;"Fischer Robert J (USA)";"White";"Qxd4";17
41;"Fischer Robert J (USA)";"White";"Bg5";19
42;"Fischer Robert J (USA)";"White";"e4";1
42;"Fischer Robert J (USA)";"White";"Nf3";3
42;"Fischer Robert J (USA)";"White";"Bb5";5
42;"Fischer Robert J (USA)";"White";"Ba4";7
42;"Fischer Robert J (USA)";"White";"O-O";9
42;"Fischer Robert J (USA)";"White";"Re1";11
42;"Fischer Robert J (USA)";"White";"Bb3";13
42;"Fischer Robert J (USA)";"White";"c3";15
42;"Fischer Robert J (USA)";"White";"h3";17
42;"Fischer Robert J (USA)";"White";"d4";19
43;"Fischer Robert J (USA)";"White";"c4";1
43;"Fischer Robert J (USA)";"White";"Nf3";3
43;"Fischer Robert J (USA)";"White";"d4";5
43;"Fischer Robert J (USA)";"White";"Nc3";7
43;"Fischer Robert J (USA)";"White";"Bg5";9
43;"Fischer Robert J (USA)";"White";"Bh4";11
43;"Fischer Robert J (USA)";"White";"e3";13
43;"Fischer Robert J (USA)";"White";"Rc1";15
43;"Fischer Robert J (USA)";"White";"Bd3";17
43;"Fischer Robert J (USA)";"White";"Bxc4";19
44;"Fischer Robert J (USA)";"White";"c4";1
44;"Fischer Robert J (USA)";"White";"Nf3";3
44;"Fischer Robert J (USA)";"White";"d4";5
44;"Fischer Robert J (USA)";"White";"Nc3";7
44;"Fischer Robert J (USA)";"White";"Bf4";9
44;"Fischer Robert J (USA)";"White";"e3";11
44;"Fischer Robert J (USA)";"White";"dxc5";13
44;"Fischer Robert J (USA)";"White";"cxd5";15
44;"Fischer Robert J (USA)";"White";"Be2";17
44;"Fischer Robert J (USA)";"White";"O-O";19
45;"Fischer Robert J (USA)";"White";"e4";1
45;"Fischer Robert J (USA)";"White";"Nf3";3
45;"Fischer Robert J (USA)";"White";"Bb5";5
45;"Fischer Robert J (USA)";"White";"Bxc6";7
45;"Fischer Robert J (USA)";"White";"O-O";9
45;"Fischer Robert J (USA)";"White";"d4";11
45;"Fischer Robert J (USA)";"White";"dxe5";13
45;"Fischer Robert J (USA)";"White";"Rxd1";15
45;"Fischer Robert J (USA)";"White";"Rd3";17
45;"Fischer Robert J (USA)";"White";"Nbd2";19
46;"Fischer Robert J (USA)";"White";"e4";1
46;"Fischer Robert J (USA)";"White";"Nf3";3
46;"Fischer Robert J (USA)";"White";"Nc3";5
46;"Fischer Robert J (USA)";"White";"d4";7
46;"Fischer Robert J (USA)";"White";"Nxd4";9
46;"Fischer Robert J (USA)";"White";"Bg5";11
46;"Fischer Robert J (USA)";"White";"Qd2";13
46;"Fischer Robert J (USA)";"White";"O-O-O";15
46;"Fischer Robert J (USA)";"White";"f4";17
46;"Fischer Robert J (USA)";"White";"Nf3";19
47;"Fischer Robert J (USA)";"White";"e4";1
47;"Fischer Robert J (USA)";"White";"Nf3";3
47;"Fischer Robert J (USA)";"White";"d4";5
47;"Fischer Robert J (USA)";"White";"Nxd4";7
47;"Fischer Robert J (USA)";"White";"Nc3";9
47;"Fischer Robert J (USA)";"White";"Bg5";11
47;"Fischer Robert J (USA)";"White";"Qd2";13
47;"Fischer Robert J (USA)";"White";"O-O-O";15
47;"Fischer Robert J (USA)";"White";"f4";17
47;"Fischer Robert J (USA)";"White";"Be2";19
67;"Fischer Robert J (USA)";"White";"e4";1
67;"Fischer Robert J (USA)";"White";"Nf3";3
67;"Fischer Robert J (USA)";"White";"Bb5";5
67;"Fischer Robert J (USA)";"White";"Ba4";7
67;"Fischer Robert J (USA)";"White";"O-O";9
67;"Fischer Robert J (USA)";"White";"Re1";11
67;"Fischer Robert J (USA)";"White";"Bb3";13
67;"Fischer Robert J (USA)";"White";"c3";15
67;"Fischer Robert J (USA)";"White";"h3";17
67;"Fischer Robert J (USA)";"White";"Bc2";19
72;"Fischer Robert J (USA)";"White";"e4";1
72;"Fischer Robert J (USA)";"White";"Nf3";3
72;"Fischer Robert J (USA)";"White";"d4";5
72;"Fischer Robert J (USA)";"White";"Nxd4";7
72;"Fischer Robert J (USA)";"White";"Nb5";9
72;"Fischer Robert J (USA)";"White";"Bf4";11
72;"Fischer Robert J (USA)";"White";"Be3";13
72;"Fischer Robert J (USA)";"White";"Bg5";15
72;"Fischer Robert J (USA)";"White";"Qd2";17
72;"Fischer Robert J (USA)";"White";"Qxa5";19
78;"Robert James Fischer";"White";"e4";1
78;"Robert James Fischer";"White";"d4";3
78;"Robert James Fischer";"White";"Nc3";5
78;"Robert James Fischer";"White";"e5";7
78;"Robert James Fischer";"White";"a3";9
