,game,player,color,move,turn
13223,149,Fischer Robert J (USA),Black,Nc6,10
13224,149,Smyslov Vassily (RUS),White,Be3,11
13225,149,Fischer Robert J (USA),Black,Rb8,12
13226,149,Smyslov Vassily (RUS),White,Qd2,13
13227,149,Fischer Robert J (USA),Black,b5,14
13228,149,Smyslov Vassily (RUS),White,Nf3,15
13229,149,Fischer Robert J (USA),Black,b4,16
13230,149,Smyslov Vassily (RUS),White,Nd1,17
13231,149,Fischer Robert J (USA),Black,Bg4,18
13232,149,Smyslov Vassily (RUS),White,h3,19
13233,149,Fischer Robert J (USA),Black,Bxf3,20
13234,149,Smyslov Vassily (RUS),White,Bxf3,21
13235,149,Fischer Robert J (USA),Black,Nf6,22
13236,149,Smyslov Vassily (RUS),White,Bg2,23
13237,149,Fischer Robert J (USA),Black,O-O,24
13238,149,Smyslov Vassily (RUS),White,O-O,25
13239,149,Fischer Robert J (USA),Black,Re8,26
13240,149,Smyslov Vassily (RUS),White,Bh6,27
13241,149,Fischer Robert J (USA),Black,Bh8,28
13242,149,Smyslov Vassily (RUS),White,Ne3,29
13243,149,Fischer Robert J (USA),Black,Nd7,30
13244,149,Smyslov Vassily (RUS),White,Rab1,31
13245,149,Fischer Robert J (USA),Black,Rb6,32
13246,149,Smyslov Vassily (RUS),White,Nc4,33
13247,149,Fischer Robert J (USA),Black,Ra6,34
13248,149,Smyslov Vassily (RUS),White,a3,35
13249,149,Fischer Robert J (USA),Black,Nb6,36
13250,149,Smyslov Vassily (RUS),White,axb4,37
13251,149,Fischer Robert J (USA),Black,cxb4,38
13252,149,Smyslov Vassily (RUS),White,Be3,39
13253,149,Fischer Robert J (USA),Black,Nxc4,40
13254,149,Smyslov Vassily (RUS),White,dxc4,41
13255,149,Fischer Robert J (USA),Black,Ra2,42
13256,149,Smyslov Vassily (RUS),White,f4,43
13257,149,Fischer Robert J (USA),Black,Bxb2,44
13258,149,Smyslov Vassily (RUS),White,e5,45
13259,149,Fischer Robert J (USA),Black,Bc3,46
13260,149,Smyslov Vassily (RUS),White,Qd5,47
13261,149,Fischer Robert J (USA),Black,Ra6,48
13262,149,Smyslov Vassily (RUS),White,e6,49
13263,149,Fischer Robert J (USA),Black,fxe6,50
13264,149,Smyslov Vassily (RUS),White,Qxe6+,51
13265,149,Fischer Robert J (USA),Black,Kh8,52
13266,149,Smyslov Vassily (RUS),White,f5,53
13267,149,Fischer Robert J (USA),Black,Nd4,54
13268,149,Smyslov Vassily (RUS),White,Bxd4+,55
13269,149,Fischer Robert J (USA),Black,Bxd4+,56
13270,149,Smyslov Vassily (RUS),White,Kh1,57
13271,149,Fischer Robert J (USA),Black,g5,58
13272,149,Smyslov Vassily (RUS),White,Rxb4,59
13273,149,Fischer Robert J (USA),Black,Bf6,60
13274,149,Smyslov Vassily (RUS),White,Rfb1,61
13275,149,Fischer Robert J (USA),Black,Rb6,62
13276,149,Smyslov Vassily (RUS),White,Rxb6,63
13277,149,Fischer Robert J (USA),Black,axb6,64
13278,149,Smyslov Vassily (RUS),White,Bd5,65
13279,149,Fischer Robert J (USA),Black,Rf8,66
13280,149,Smyslov Vassily (RUS),White,Qe3,67
13281,149,Fischer Robert J (USA),Black,Qc8,68
13282,149,Smyslov Vassily (RUS),White,g4,69
13283,149,Fischer Robert J (USA),Black,Qc5,70
13284,150,Miyasaki Yukio (JPN),White,e4,1
13285,150,Fischer Robert J (USA),Black,c5,2
13286,150,Miyasaki Yukio (JPN),White,Nf3,3
13287,150,Fischer Robert J (USA),Black,d6,4
13288,150,Miyasaki Yukio (JPN),White,d4,5
13289,150,Fischer Robert J (USA),Black,cxd4,6
13290,150,Miyasaki Yukio (JPN),White,Nxd4,7
13291,150,Fischer Robert J (USA),Black,Nf6,8
13292,150,Miyasaki Yukio (JPN),White,Nc3,9
13293,150,Fischer Robert J (USA),Black,a6,10
13294,150,Miyasaki Yukio (JPN),White,Be3,11
13295,150,Fischer Robert J (USA),Black,e5,12
13296,150,Miyasaki Yukio (JPN),White,Nb3,13
13297,150,Fischer Robert J (USA),Black,Be7,14
13298,150,Miyasaki Yukio (JPN),White,Be2,15
13299,150,Fischer Robert J (USA),Black,Be6,16
13300,150,Miyasaki Yukio (JPN),White,O-O,17
13301,150,Fischer Robert J (USA),Black,Nbd7,18
13302,150,Miyasaki Yukio (JPN),White,f4,19
13303,150,Fischer Robert J (USA),Black,Rc8,20
13304,150,Miyasaki Yukio (JPN),White,h3,21
13305,150,Fischer Robert J (USA),Black,b5,22
13306,150,Miyasaki Yukio (JPN),White,a3,23
13307,150,Fischer Robert J (USA),Black,O-O,24
13308,150,Miyasaki Yukio (JPN),White,Qe1,25
13309,150,Fischer Robert J (USA),Black,Nb6,26
13310,150,Miyasaki Yukio (JPN),White,fxe5,27
13311,150,Fischer Robert J (USA),Black,dxe5,28
13312,150,Miyasaki Yukio (JPN),White,Qg3,29
13313,150,Fischer Robert J (USA),Black,Na4,30
13314,150,Miyasaki Yukio (JPN),White,Rad1,31
13315,150,Fischer Robert J (USA),Black,Nxc3,32
13316,150,Miyasaki Yukio (JPN),White,bxc3,33
13317,150,Fischer Robert J (USA),Black,Qc7,34
13318,150,Miyasaki Yukio (JPN),White,Bh6,35
13319,150,Fischer Robert J (USA),Black,Ne8,36
13320,150,Miyasaki Yukio (JPN),White,Rd3,37
13321,150,Fischer Robert J (USA),Black,Kh8,38
13322,150,Miyasaki Yukio (JPN),White,Bc1,39
13323,150,Fischer Robert J (USA),Black,Bc4,40
13324,150,Miyasaki Yukio (JPN),White,Rd2,41
13325,150,Fischer Robert J (USA),Black,Nf6,42
13326,150,Miyasaki Yukio (JPN),White,Qf3,43
13327,150,Fischer Robert J (USA),Black,Qc6,44
13328,150,Miyasaki Yukio (JPN),White,Bd3,45
13329,150,Fischer Robert J (USA),Black,Bxd3,46
13330,150,Miyasaki Yukio (JPN),White,Rxd3,47
13331,150,Fischer Robert J (USA),Black,Nxe4,48
13332,150,Miyasaki Yukio (JPN),White,Na5,49
13333,150,Fischer Robert J (USA),Black,Qg6,50
13334,150,Miyasaki Yukio (JPN),White,Kh2,51
13335,150,Fischer Robert J (USA),Black,f5,52
13336,150,Miyasaki Yukio (JPN),White,Bb2,53
13337,150,Fischer Robert J (USA),Black,Bg5,54
13338,150,Miyasaki Yukio (JPN),White,Rfd1,55
13339,150,Fischer Robert J (USA),Black,Bf4+,56
13340,150,Miyasaki Yukio (JPN),White,Kh1,57
13341,150,Fischer Robert J (USA),Black,Ng3+,58
13342,150,Miyasaki Yukio (JPN),White,Kh2,59
