"X";"game";"player";"color";"move";"turn"
706;11;"Alekhine, Alexander A";"White";"Bc4";5
707;11;"Amateur";"Black";"Bc5";6
708;11;"Alekhine, Alexander A";"White";"c3";7
709;11;"Amateur";"Black";"Nf6";8
710;11;"Alekhine, Alexander A";"White";"d4";9
711;11;"Amateur";"Black";"exd4";10
739;12;"Alekhine, Alexander A";"White";"e4";1
740;12;"Scialom A";"Black";"e5";2
741;12;"Alekhine, Alexander A";"White";"Nf3";3
742;12;"Scialom A";"Black";"Nc6";4
743;12;"Alekhine, Alexander A";"White";"Bc4";5
744;12;"Scialom A";"Black";"Bc5";6
745;12;"Alekhine, Alexander A";"White";"c3";7
746;12;"Scialom A";"Black";"Nf6";8
747;12;"Alekhine, Alexander A";"White";"d4";9
748;12;"Scialom A";"Black";"exd4";10
782;13;"Alekhine/Znosko Borovsky";"White";"e4";1
783;13;"Bogoljubov/Kmoch/Ada";"Black";"e5";2
784;13;"Alekhine/Znosko Borovsky";"White";"Nf3";3
785;13;"Bogoljubov/Kmoch/Ada";"Black";"Nc6";4
786;13;"Alekhine/Znosko Borovsky";"White";"Bc4";5
787;13;"Bogoljubov/Kmoch/Ada";"Black";"Bc5";6
788;13;"Alekhine/Znosko Borovsky";"White";"c3";7
789;13;"Bogoljubov/Kmoch/Ada";"Black";"Nf6";8
790;13;"Alekhine/Znosko Borovsky";"White";"d3";9
791;13;"Bogoljubov/Kmoch/Ada";"Black";"d6";10
881;14;"Schiffers, Emanuel S";"White";"e4";1
882;14;"Harmonist, Max";"Black";"e5";2
883;14;"Schiffers, Emanuel S";"White";"Nf3";3
884;14;"Harmonist, Max";"Black";"Nc6";4
885;14;"Schiffers, Emanuel S";"White";"Bc4";5
886;14;"Harmonist, Max";"Black";"Bc5";6
887;14;"Schiffers, Emanuel S";"White";"c3";7
888;14;"Harmonist, Max";"Black";"Nf6";8
889;14;"Schiffers, Emanuel S";"White";"d4";9
890;14;"Harmonist, Max";"Black";"exd4";10
936;15;"Karpov, Anatoly";"White";"e4";1
937;15;"Jussupow, Artur M";"Black";"e5";2
938;15;"Karpov, Anatoly";"White";"Nf3";3
939;15;"Jussupow, Artur M";"Black";"Nc6";4
940;15;"Karpov, Anatoly";"White";"Bc4";5
941;15;"Jussupow, Artur M";"Black";"Bc5";6
942;15;"Karpov, Anatoly";"White";"c3";7
943;15;"Jussupow, Artur M";"Black";"Nf6";8
944;15;"Karpov, Anatoly";"White";"d3";9
945;15;"Jussupow, Artur M";"Black";"d6";10
1087;18;"Olland, Adolf G";"White";"e4";1
1088;18;"Leussen, Benjamin";"Black";"e5";2
1089;18;"Olland, Adolf G";"White";"Nf3";3
1090;18;"Leussen, Benjamin";"Black";"Nc6";4
1091;18;"Olland, Adolf G";"White";"Bc4";5
1092;18;"Leussen, Benjamin";"Black";"Bc5";6
1093;18;"Olland, Adolf G";"White";"c3";7
1094;18;"Leussen, Benjamin";"Black";"Nf6";8
1095;18;"Olland, Adolf G";"White";"d4";9
1096;18;"Leussen, Benjamin";"Black";"exd4";10
1179;19;"Mason, James";"White";"e4";1
1180;19;"Wolf, Heinrich";"Black";"e5";2
1181;19;"Mason, James";"White";"Nf3";3
1182;19;"Wolf, Heinrich";"Black";"Nc6";4
1183;19;"Mason, James";"White";"Bc4";5
1184;19;"Wolf, Heinrich";"Black";"Bc5";6
1185;19;"Mason, James";"White";"c3";7
1186;19;"Wolf, Heinrich";"Black";"Nf6";8
1187;19;"Mason, James";"White";"d4";9
1188;19;"Wolf, Heinrich";"Black";"exd4";10
1225;20;"Mortimer, James";"White";"e4";1
1226;20;"Eisenberg, L";"Black";"e5";2
1227;20;"Mortimer, James";"White";"Nf3";3
1228;20;"Eisenberg, L";"Black";"Nc6";4
1229;20;"Mortimer, James";"White";"Bc4";5
